PID,cyear,IBIRTHY,AGE,Sex,Education,SpouseAge,SpouseEducation,MeetWay,MarryLast,Cohabitation,FirstMarry,Marriage,Jiazhuang,Marriage_stf,Economy_contrb_stf,Housework_contrb_stf,Job_code,Income_month,Income,Life_stf,General_stf
220322102,2018,1964,54,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,4,5,8,0,0,4,4.67
220322103,2018,1990,28,0,6,-8,-8,-8,-8,-8,-8,2,-8,4,5,4,8,0,0,4,4.33
220323101,2018,1949,69,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,4,4,8,0,0,4,4.33
220323102,2018,1949,69,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
220323103,2018,1977,41,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,3000,38000,5,5.0
220323104,2018,1978,40,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,15,2500,30000,3,5.0
220330101,2018,1946,72,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,-8,0,0,4,4.67
220330102,2018,1948,70,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,1,4,-8,0,0,5,3.33
220332101,2018,1984,34,0,4,41,5,5,16,5,-8,2,-8,3,3,1,-8,0,0,3,2.33
220335101,2018,1957,61,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,3,5.0
220335102,2018,1956,62,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,2,5,3,0,0,3,4.0
220336101,2018,1971,47,0,5,-8,-8,-8,-8,-8,-8,2,-8,4,3,4,8,3000,25000,3,3.67
220336102,2018,1969,49,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,4,4,3,4000,50000,4,4.33
220337101,2018,1951,67,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
220337102,2018,1948,70,0,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
220340101,2018,1963,55,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,3,5,3,2400,14000,5,4.33
220340102,2018,1967,51,0,3,55,8,5,30,5,-8,2,-8,5,4,5,-8,0,0,5,4.67
220344101,2018,1979,39,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,6,8000,80000,3,5.0
220344104,2018,1984,34,0,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,9,0,0,4,4.67
220349101,2018,1976,42,1,4,42,4,5,2019,5,-8,2,-8,5,4,4,4,2000,20000,1,4.33
220349102,2018,1977,41,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,2000,20000,4,5.0
220352101,2018,1963,55,0,3,-8,-8,-8,-8,-8,-8,2,-8,3,4,2,-8,0,0,3,3.0
220352102,2018,1962,56,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,3,5,-8,0,0,3,4.33
220352103,2018,1984,34,0,7,-8,-8,-8,-8,-8,-8,2,-8,3,3,5,16,2000,24000,3,3.67
220352551,2018,1985,33,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,8,0,0,3,4.67
220355101,2019,1975,43,0,4,53,3,3,24,5,-8,2,-8,5,3,3,3,2300,27000,5,3.67
220356101,2018,1972,46,1,4,2,-8,-8,-8,-8,-8,2,-8,5,5,5,6,4500,21000,5,5.0
220356501,2018,1976,42,0,5,2,-8,-8,-8,-8,-8,2,0,5,5,5,-8,0,20000,5,5.0
220358101,2018,1963,55,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,3,5.0
220358102,2018,1962,56,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,2000,7000,5,5.0
220359101,2018,1962,56,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
220359102,2018,1959,59,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
220362101,2018,1960,58,0,5,-8,-8,-8,-8,-8,-8,2,-8,4,3,3,-8,0,0,5,3.33
220362102,2018,1983,35,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,9,0,0,5,5.0
220552601,2018,1997,21,0,4,25,4,5,2,5,-8,2,-1,5,5,5,-8,0,0,5,5.0
220683551,2018,1986,32,1,5,31,6,2,8,5,1,2,-8,5,5,1,3,3500,42000,5,3.67
222043551,2018,1989,29,0,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,1500,18000,4,5.0
222492501,2018,1987,31,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,4,4,3,3500,40000,3,4.33
222496551,2018,1986,32,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,18,3000,30000,5,5.0
222964551,2018,1988,30,0,7,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,5,-1,50000,5,4.67
224376551,2018,1984,34,1,7,-8,-8,-8,-8,-8,-8,2,-8,5,4,3,4,7000,100000,4,4.0
225025431,2018,1987,31,1,5,29,4,6,9,5,1,2,-8,5,5,3,4,2225,26700,4,4.33
225818551,2018,1979,39,1,5,31,7,6,4,5,1,2,-8,5,5,5,9,3200,40000,3,5.0
225928551,2019,1989,29,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,3,3,3,0,0,4,3.67
226223552,2018,1964,54,0,3,53,3,2,31,5,1,2,-8,5,5,5,9,3200,32000,5,5.0
226223553,2018,1989,29,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,12,8000,115000,5,4.67
226249551,2018,1986,32,1,7,-8,-8,-8,-8,-8,-8,2,-8,4,5,5,19,4500,60000,4,4.67
226514551,2018,1970,48,0,3,38,4,9,2,5,-8,2,20000,3,3,3,8,2000,42000,3,3.0
226551501,2018,1983,35,0,4,-8,-8,-8,-8,-8,-8,2,-8,3,3,4,3,3000,36000,2,3.33
226551502,2018,1979,39,1,5,-8,-8,-8,-8,-8,-8,2,-8,3,4,1,19,2400,40000,3,2.67
226766551,2018,1990,28,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,12,0,0,4,5.0
226884551,2018,1992,26,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,2500,8400,4,5.0
226900504,2018,1988,30,1,5,27,4,5,6,5,1,2,-8,5,5,5,5,0,0,5,5.0
227185431,2018,1988,30,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,5,0,0,3,5.0
228335503,2018,1990,28,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,3500,42000,3,5.0
228335551,2018,1963,55,1,4,56,3,8,36,5,1,2,-8,5,4,5,12,2500,2620,5,4.67
228417551,2018,1990,28,1,5,27,5,1,2,5,-8,2,-8,5,5,5,3,7500,65000,5,5.0
228579501,2018,1987,31,1,7,-8,-8,-8,-8,-8,-8,2,-8,5,5,3,5,2700,67500,5,4.33
228706501,2018,1986,32,0,8,-8,-8,-8,-8,-8,-8,2,-8,4,4,5,7,9000,100000,3,4.33
228853101,2018,1944,74,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,5,1000,12000,4,4.67
228853102,2018,1947,71,0,0,-8,-8,-8,-8,-8,-8,2,-8,4,4,5,14,1000,12000,3,4.33
229022501,2018,1990,28,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,0,6000,1,5.0
229166505,2018,1992,26,1,5,-8,-8,-8,-8,-8,-8,2,-8,4,5,5,3,0,0,3,4.67
229271501,2018,1990,28,0,8,28,6,1,0,1,-8,2,0,5,5,5,12,7000,90000,5,5.0
229466601,2018,1990,28,1,5,29,5,6,4,5,1,2,-8,5,5,5,5,3000,20000,4,5.0
229698501,2018,1988,30,1,5,29,5,5,5,5,-8,2,-8,5,5,5,5,3500,30000,3,5.0
229748601,2018,1973,45,1,4,43,3,5,18,5,1,2,-8,5,5,5,-8,0,480000,5,5.0
230001101,2018,1970,48,1,0,47,0,5,26,1,-8,2,-8,5,5,5,-8,0,36000,5,5.0
230001102,2018,1971,47,0,0,48,0,5,27,5,-8,2,-8,5,5,5,-8,0,0,4,5.0
230001103,2018,1992,26,0,4,2019,4,5,1,1,-8,2,40000,2,1,5,18,1500,6000,5,2.67
230004101,2018,1957,61,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230004102,2018,1981,37,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,2,5.0
230004103,2018,1984,34,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,4,5.0
230004104,2018,1954,64,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230007101,2018,1959,59,0,4,-8,-8,-8,-8,-8,-8,2,-8,3,2,3,-8,0,0,3,2.67
230007102,2018,1961,57,1,4,-8,-8,-8,-8,-8,-8,2,-8,3,5,5,-8,0,0,5,4.33
230008103,2018,1978,40,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,15,8000,20000,4,5.0
230009101,2018,1963,55,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,6,0,0,5,5.0
230009102,2018,1967,51,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
230010103,2018,1970,48,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,3,5.0
230010104,2018,1970,48,0,3,48,3,2,26,5,-8,2,-8,5,5,5,-8,0,0,5,5.0
